time,confidence,severity,evidence
1766914207.92,0.24,791.67,pothole_1766914207.jpg
1766914208.04,0.25,612.92,pothole_1766914208.jpg
1766914208.06,0.24,682.13,pothole_1766914208.jpg
1766914208.2,0.33,1283.84,pothole_1766914208.jpg
1766914208.3,0.21,504.45,pothole_1766914208.jpg
1766914208.38,0.7,5463.35,pothole_1766914208.jpg
1766914208.4,0.41,1397.19,pothole_1766914208.jpg
1766914208.45,0.29,3925.38,pothole_1766914208.jpg
1766914210.13,0.21,559.16,pothole_1766914210.jpg
1766914210.46,0.5,1289.26,pothole_1766914210.jpg
1766914210.58,0.54,1588.75,pothole_1766914210.jpg
1766914210.64,0.56,2040.48,pothole_1766914210.jpg
1766914210.66,0.36,957.49,pothole_1766914210.jpg
1766914210.75,0.22,679.91,pothole_1766914210.jpg
1766914210.98,0.24,1233.93,pothole_1766914210.jpg
1766914211.25,0.26,1928.59,pothole_1766914211.jpg
1766914211.34,0.32,2431.25,pothole_1766914211.jpg
1766914211.46,0.23,1355.17,pothole_1766914211.jpg
1766914211.51,0.38,6945.16,pothole_1766914211.jpg
1766914211.65,0.27,7483.6,pothole_1766914211.jpg
1766914211.77,0.22,1621.56,pothole_1766914211.jpg
1766914211.79,0.22,570.06,pothole_1766914211.jpg
1766914212.47,0.31,740.21,pothole_1766914212.jpg
1766914212.67,0.2,960.93,pothole_1766914212.jpg
1766914212.96,0.3,3210.9,pothole_1766914212.jpg
1766914212.99,0.26,1389.64,pothole_1766914212.jpg
1766914213.04,0.45,7249.39,pothole_1766914213.jpg
1766914213.05,0.26,1756.86,pothole_1766914213.jpg
1766914213.11,0.22,4621.44,pothole_1766914213.jpg
1766914213.16,0.29,1361.82,pothole_1766914213.jpg
1766914213.39,0.32,1781.84,pothole_1766914213.jpg
1766914213.77,0.26,769.97,pothole_1766914213.jpg
1766914214.2,0.33,1537.8,pothole_1766914214.jpg
1766914214.58,0.23,784.01,pothole_1766914214.jpg
1766914214.7,0.23,678.3,pothole_1766914214.jpg
1766914214.79,0.21,926.4,pothole_1766914214.jpg
1766914214.85,0.3,953.17,pothole_1766914214.jpg
1766914214.87,0.22,687.68,pothole_1766914214.jpg
1766914214.92,0.35,4294.91,pothole_1766914214.jpg
1766914214.97,0.35,2286.21,pothole_1766914214.jpg
1766914215.03,0.2,1144.76,pothole_1766914215.jpg
1766914215.18,0.21,2393.9,pothole_1766914215.jpg
1766914215.27,0.29,1667.32,pothole_1766914215.jpg
1766914215.34,0.26,912.63,pothole_1766914215.jpg
1766914215.39,0.22,1051.59,pothole_1766914215.jpg
1766914215.45,0.36,2934.37,pothole_1766914215.jpg
1766914215.7,0.5,5302.28,pothole_1766914215.jpg
1766914215.75,0.23,1135.72,pothole_1766914215.jpg
1766914215.89,0.22,1810.4,pothole_1766914215.jpg
1766914216.42,0.27,2291.7,pothole_1766914216.jpg
1766914217.0,0.46,2442.56,pothole_1766914216.jpg
1766914217.49,0.47,1993.99,pothole_1766914217.jpg
1766914221.48,0.2,1198.09,pothole_1766914221.jpg
1766914222.68,0.22,822.67,pothole_1766914222.jpg
1766914223.26,0.24,1537.67,pothole_1766914223.jpg
1766914224.05,0.23,1016.48,pothole_1766914224.jpg
1766914224.1,0.4,1193.25,pothole_1766914224.jpg
1766914224.26,0.21,720.33,pothole_1766914224.jpg
1766914224.32,0.65,6721.02,pothole_1766914224.jpg
1766914224.72,0.2,719.5,pothole_1766914224.jpg
1766914224.97,0.43,2135.55,pothole_1766914224.jpg
1766914225.22,0.21,1367.88,pothole_1766914225.jpg
1766914225.31,0.32,4583.1,pothole_1766914225.jpg
1766914226.22,0.51,4206.66,pothole_1766914226.jpg
1766914228.08,0.23,1347.57,pothole_1766914228.jpg
1766914228.2,0.36,6787.06,pothole_1766914228.jpg
1766914228.34,0.21,863.75,pothole_1766914228.jpg
1766914229.36,0.25,1544.55,pothole_1766914229.jpg
1766914230.25,0.31,1757.98,pothole_1766914230.jpg
1766914230.76,0.24,3415.2,pothole_1766914230.jpg
1766914232.38,0.38,2275.34,pothole_1766914232.jpg
1766914232.68,0.24,989.26,pothole_1766914232.jpg
1766914232.7,0.23,560.97,pothole_1766914232.jpg
1766914234.03,0.24,651.01,pothole_1766914234.jpg
1766914234.25,0.24,2767.41,pothole_1766914234.jpg
1766914234.34,0.23,1214.95,pothole_1766914234.jpg
1766914235.53,0.24,1379.34,pothole_1766914235.jpg
1766914237.1,0.54,4810.61,pothole_1766914237.jpg
1766914237.31,0.33,3462.18,pothole_1766914237.jpg
1766914237.36,0.22,2431.15,pothole_1766914237.jpg
1766914238.05,0.41,820.48,pothole_1766914238.jpg
1766914238.18,0.22,2975.68,pothole_1766914238.jpg
1766914238.6,0.38,922.28,pothole_1766914238.jpg
