epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.1257,2.59981,4.67152,1.86486,0.00356,0.66667,0.04896,0.01286,1.94915,3.97148,1.33309,0.00016,0.00016,0.00016
2,65.9781,2.19115,3.40692,1.47471,0.00444,0.83333,0.03515,0.01251,2.02706,3.87755,1.25675,0.00032317,0.00032317,0.00032317
3,97.6796,2.18644,3.05038,1.47498,0.00444,0.83333,0.1016,0.03672,1.84026,3.72517,1.22711,0.00046852,0.00046852,0.00046852
4,129.438,2.12546,2.59384,1.3881,0.00422,0.79167,0.03803,0.01485,1.86113,3.69795,1.25964,0.00059605,0.00059605,0.00059605
5,159.948,2.09658,2.47142,1.43014,0.00389,0.72917,0.00673,0.00248,1.95778,3.74659,1.56217,0.00070576,0.00070576,0.00070576
6,202.657,2.03733,2.45404,1.43269,0.00389,0.72917,0.00853,0.00362,1.88379,3.70856,1.50039,0.00079765,0.00079765,0.00079765
7,227.992,1.94238,2.23987,1.4081,0.00378,0.70833,0.0115,0.00451,1.94981,3.72246,1.46221,0.00087172,0.00087172,0.00087172
8,251.796,2.0129,2.15699,1.36767,0.13192,0.35417,0.20672,0.0801,1.97817,3.37036,1.47101,0.00092797,0.00092797,0.00092797
9,275.725,2.03551,2.18437,1.48136,0.51427,0.20833,0.2387,0.10062,1.97152,3.20696,1.5018,0.0009664,0.0009664,0.0009664
10,299.414,2.00716,2.05881,1.48079,0.54822,0.1875,0.34156,0.13575,1.87787,2.91283,1.43519,0.00098701,0.00098701,0.00098701
11,327.053,1.94371,2.53258,1.42808,0.29198,0.125,0.19106,0.06176,1.98672,3.064,1.49447,0.0009898,0.0009898,0.0009898
12,350.825,2.00385,2.37266,1.41451,0.71949,0.48098,0.55845,0.23618,1.92625,2.57889,1.33899,0.000911,0.000911,0.000911
13,374.949,2.03112,2.49522,1.46857,0.70634,0.60417,0.6055,0.23794,1.97,2.33685,1.39541,0.000812,0.000812,0.000812
14,398.472,1.80978,2.14597,1.34638,0.71536,0.625,0.6195,0.27259,1.93449,2.16791,1.43193,0.000713,0.000713,0.000713
15,422.087,1.89223,2.13529,1.36788,0.65638,0.64583,0.62177,0.2916,1.90542,2.04287,1.39215,0.000614,0.000614,0.000614
16,445.519,1.84488,2.11597,1.37764,0.73252,0.60417,0.65572,0.31162,1.90751,1.99511,1.4228,0.000515,0.000515,0.000515
17,469.214,1.70838,1.93994,1.28846,0.87945,0.60805,0.67127,0.29634,1.93871,1.87577,1.4219,0.000416,0.000416,0.000416
18,492.685,1.76997,1.94019,1.30476,0.93415,0.59122,0.71238,0.30434,1.95573,1.80484,1.43497,0.000317,0.000317,0.000317
19,516.726,1.74614,1.94092,1.33892,0.81785,0.66667,0.72556,0.30158,1.95761,1.77034,1.43664,0.000218,0.000218,0.000218
20,541.179,1.70901,1.90352,1.29277,0.84062,0.70833,0.73218,0.32538,1.98286,1.72013,1.42999,0.000119,0.000119,0.000119
