epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,701.348,2.18462,2.81122,1.70232,0.43227,0.30681,0.29102,0.12247,2.10726,2.6143,1.64966,0.000474253,0.000474253,0.000474253
2,1382.53,1.96792,2.03773,1.52892,0.40023,0.26723,0.25018,0.10168,2.18486,2.69347,1.74677,0.000931765,0.000931765,0.000931765
3,2092.66,1.90084,1.78682,1.47832,0.61988,0.33727,0.37662,0.18039,2.06315,2.20268,1.61473,0.00137041,0.00137041,0.00137041
4,2810.3,1.86227,1.68291,1.45558,0.54728,0.33612,0.3673,0.17568,2.11267,2.25126,1.57351,0.00134412,0.00134412,0.00134412
5,3495.85,1.80056,1.57222,1.41255,0.67899,0.34602,0.4143,0.21437,1.93452,2.02056,1.48398,0.00131582,0.00131582,0.00131582
6,4205.5,1.73736,1.48672,1.37559,0.63731,0.38462,0.42275,0.20265,2.05699,2.08346,1.58461,0.00128753,0.00128753,0.00128753
7,4890.11,1.71952,1.4543,1.37068,0.69774,0.40731,0.46693,0.25177,1.88754,1.92161,1.47406,0.00125923,0.00125923,0.00125923
8,5623.33,1.66939,1.39705,1.33569,0.70442,0.41644,0.47991,0.2555,1.84503,1.91821,1.44334,0.00123094,0.00123094,0.00123094
9,6385.96,1.6577,1.36073,1.32432,0.70082,0.4289,0.48488,0.2786,1.7681,1.84075,1.41994,0.00120265,0.00120265,0.00120265
10,7155.41,1.61132,1.30258,1.30298,0.72668,0.4271,0.4992,0.28844,1.76964,1.83903,1.39404,0.00117435,0.00117435,0.00117435
11,7835.52,1.60044,1.27759,1.29042,0.72543,0.42863,0.50038,0.28906,1.7776,1.78238,1.40506,0.00114606,0.00114606,0.00114606
12,8563.87,1.56486,1.24945,1.27965,0.69504,0.44233,0.50396,0.28594,1.79435,1.79749,1.39487,0.00111776,0.00111776,0.00111776
13,9260.04,1.55984,1.24276,1.2699,0.75253,0.44103,0.51178,0.29165,1.7448,1.75744,1.37815,0.00108947,0.00108947,0.00108947
14,9934.25,1.53014,1.22186,1.26113,0.7691,0.42901,0.50124,0.28474,1.72855,1.87641,1.39649,0.00106118,0.00106118,0.00106118
15,10608.7,1.50828,1.17626,1.24901,0.72946,0.44081,0.50949,0.29686,1.74466,1.77687,1.38129,0.00103288,0.00103288,0.00103288
16,11286.6,1.49332,1.15786,1.23954,0.72356,0.46365,0.5316,0.31968,1.69631,1.76424,1.33409,0.00100459,0.00100459,0.00100459
17,11960.9,1.49114,1.14962,1.23771,0.72632,0.46269,0.53069,0.31146,1.66401,1.66346,1.33834,0.000976293,0.000976293,0.000976293
18,12635,1.4944,1.14797,1.23502,0.7699,0.4445,0.53597,0.32066,1.68336,1.69652,1.34707,0.000947999,0.000947999,0.000947999
19,13308.8,1.46452,1.12394,1.2253,0.77394,0.46098,0.54597,0.333,1.63957,1.67926,1.32648,0.000919704,0.000919704,0.000919704
20,13986.6,1.43895,1.09589,1.21218,0.75605,0.46707,0.54154,0.32879,1.67459,1.69412,1.32641,0.00089141,0.00089141,0.00089141
21,14663.4,1.43174,1.08821,1.20264,0.79111,0.45269,0.5454,0.33169,1.63737,1.64101,1.31358,0.000863116,0.000863116,0.000863116
22,15338.1,1.41296,1.07228,1.20094,0.76795,0.47469,0.55249,0.33628,1.63446,1.64882,1.31741,0.000834822,0.000834822,0.000834822
23,16012.2,1.40574,1.05091,1.19328,0.78396,0.47278,0.55235,0.34066,1.62487,1.65324,1.31758,0.000806528,0.000806528,0.000806528
24,16686.4,1.40254,1.04634,1.18789,0.76856,0.46669,0.5498,0.34,1.64306,1.62229,1.31679,0.000778233,0.000778233,0.000778233
25,17360.4,1.37816,1.02599,1.17932,0.75936,0.47208,0.55824,0.34541,1.61322,1.62613,1.29474,0.000749939,0.000749939,0.000749939
26,18032.8,1.37908,1.01734,1.17834,0.76374,0.48877,0.56537,0.35143,1.6134,1.61711,1.30812,0.000721645,0.000721645,0.000721645
27,18764.9,1.3577,1.00059,1.16583,0.74492,0.49135,0.56213,0.35159,1.61387,1.59533,1.2854,0.000693351,0.000693351,0.000693351
28,19564.4,1.36411,1.00748,1.17668,0.77349,0.48382,0.56318,0.34749,1.60028,1.63799,1.30112,0.000665057,0.000665057,0.000665057
29,20293.6,1.34094,0.98647,1.16208,0.74483,0.49943,0.56518,0.34961,1.61561,1.60032,1.29995,0.000636762,0.000636762,0.000636762
30,20968.6,1.34332,0.97668,1.16061,0.75108,0.48953,0.56917,0.35169,1.60513,1.62984,1.27703,0.000608468,0.000608468,0.000608468
31,21641.9,1.32148,0.95126,1.15277,0.78303,0.48763,0.5695,0.35427,1.59091,1.64232,1.28543,0.000580174,0.000580174,0.000580174
32,22317,1.31568,0.94713,1.14799,0.79851,0.48426,0.56815,0.35834,1.60667,1.65719,1.30792,0.00055188,0.00055188,0.00055188
